REPO NAME,FILE NAME,DEFAULT NAMESPACE,HTTP WITHOUT TLS,MISSING SECURITY CONTEXT,PRIVILEGE ESCALATION,USPECIFIED PRIVILEGE ESCALATION,ROOT PRIVILEGE,NO ROLLING UPDATE,USERNAME,PASSWORD,KEY,SECURE FLAG
ticket-share,skaffold.yaml,0,0,0,0,0,0,0,0,0,0,False
ticket-share,client-depl.yaml,0,0,0,0,0,0,0,0,0,0,False
ticket-share,ingress-srv.yaml,0,0,0,0,0,0,0,0,0,0,False
ticket-share,auth-depl.yaml,0,0,0,0,0,0,0,0,0,1,True
ticket-share,auth-mongo-depl.yaml,0,0,0,0,0,0,0,0,0,0,False
hipstershop,skaffold.yaml,0,0,0,0,0,0,0,0,0,0,False
hipstershop,emailservice.yaml,0,0,0,0,0,0,0,0,0,0,False
hipstershop,checkoutservice.yaml,0,0,0,0,0,0,0,0,0,0,False
hipstershop,recommendationservice.yaml,0,0,0,0,0,0,0,0,0,0,False
hipstershop,frontend.yaml,0,0,0,0,0,0,0,0,0,0,False
hipstershop,paymentservice.yaml,0,0,0,0,0,0,0,0,0,0,False
hipstershop,productcatalogservice.yaml,0,0,0,0,0,0,0,0,0,0,False
hipstershop,mongo.yaml,0,0,0,0,0,0,0,0,0,0,False
hipstershop,cartservice.yaml,0,0,0,0,0,0,0,0,0,0,False
hipstershop,loadgenerator.yaml,0,0,0,0,0,0,0,0,0,0,False
hipstershop,currencyservice.yaml,0,0,0,0,0,0,0,0,0,0,False
hipstershop,shippingservice.yaml,0,0,0,0,0,0,0,0,0,0,False
hipstershop,redis.yaml,0,0,0,0,0,0,0,0,0,0,False
hipstershop,adservice.yaml,0,0,0,0,0,0,0,0,0,0,False
udacity-operationalize-microservice,deploy.yaml,0,0,0,0,0,0,0,0,0,0,False
udacity-operationalize-microservice,deploy.yaml,0,0,0,0,0,0,0,0,0,0,False
udacity-operationalize-microservice,config.yml,0,0,0,0,0,0,0,0,0,1,True
microservices-and-kubernetes-experiments,kube-config.yaml,0,0,0,0,0,0,0,0,0,0,False
microservices-and-kubernetes-experiments,service.yaml,0,0,0,0,0,0,0,0,0,0,False
microservices-and-kubernetes-experiments,kube-config.yaml,0,0,0,0,0,0,0,0,0,0,False
microservices-and-kubernetes-experiments,service.yaml,0,0,0,0,0,0,0,0,0,0,False
microservices-and-kubernetes-experiments,kube-config.yaml,0,0,0,0,0,0,0,0,0,0,False
microservices-and-kubernetes-experiments,httpbin.yaml,0,0,0,0,0,0,0,0,0,0,False
microservices-and-kubernetes-experiments,ambassador-service.yaml,0,0,0,0,0,0,0,0,0,0,False
microservices-and-kubernetes-experiments,kube-config.yaml,0,0,0,0,0,0,0,0,0,0,False
microservices-and-kubernetes-experiments,helloworld-go-service.yaml,1,0,0,0,0,0,0,0,0,0,True
microservices-and-kubernetes-experiments,kube-config.yaml,0,0,0,0,0,0,0,0,0,0,False
microservices-and-kubernetes-experiments,kube-config.yaml,0,0,0,0,0,0,0,0,0,0,False
udagram-microservice,.travis.yml,0,0,0,0,0,0,0,0,0,0,False
udagram-microservice,docker-compose.yaml,0,0,0,0,0,0,0,0,0,0,False
udagram-microservice,docker-compose-build.yaml,0,0,0,0,0,0,0,0,0,0,False
udagram-microservice,reverseproxy-deployment.yaml,0,0,0,0,0,0,1,0,0,0,True
udagram-microservice,backend-feed-deployment.yaml,0,0,0,0,0,0,1,0,0,9,True
udagram-microservice,env-configmap.yaml,0,1,0,0,0,0,0,0,0,0,True
udagram-microservice,backend-user-service.yaml,0,0,0,0,0,0,0,0,0,0,False
udagram-microservice,backend-user-deployment.yaml,0,0,0,0,0,0,1,0,0,6,True
udagram-microservice,reverseproxy-service.yaml,0,0,0,0,0,0,0,0,0,0,False
udagram-microservice,frontend-deployment.yaml,0,0,0,0,0,0,1,0,0,0,True
udagram-microservice,aws-secret.yaml,0,0,0,0,0,0,0,0,0,0,False
udagram-microservice,env-secret.yaml,0,0,0,0,0,0,0,0,0,0,False
udagram-microservice,backend-feed-service.yaml,0,0,0,0,0,0,0,0,0,0,False
udagram-microservice,frontend-service.yaml,0,0,0,0,0,0,0,0,0,0,False
udagram-microservice,pod.yaml,0,0,1,0,0,0,0,0,0,0,True
sample-app,kind-config.yaml,0,0,0,0,0,0,0,0,0,0,False
sample-app,skaffold.yaml,0,0,0,0,0,0,0,0,0,0,False
sample-app,deployment.yaml,0,0,0,0,0,1,0,0,0,1,True
sample-app,service.yaml,0,0,0,0,0,0,0,0,0,0,False
sample-app,pvc.yaml,0,0,0,0,0,0,0,0,0,0,False
sample-app,serviceaccount.yaml,0,0,0,0,0,0,0,0,0,0,False
sample-app,secret.yaml,0,0,0,0,0,0,0,0,0,0,False
sample-app,deployment.yaml,0,0,0,0,0,0,0,0,0,1,True
sample-app,service.yaml,0,0,0,0,0,0,0,0,0,0,False
sample-app,.squash.yml,0,0,0,0,0,0,0,0,0,0,False
sample-app,.rubocop-disabled.yml,0,0,0,0,0,0,0,0,0,0,False
sample-app,.rubocop.yml,0,0,0,0,0,0,0,0,0,0,False
sample-app,.codeclimate.yml,0,0,0,0,0,0,0,0,0,0,False
sample-app,travis.yml,0,0,0,0,0,0,0,0,0,0,False
sample-app,.rubocop.yml,0,0,0,0,0,0,0,0,0,0,False
sample-app,en.yml,0,0,0,0,0,0,0,0,0,0,False
sample-app,.rubocop.yml,0,0,0,0,0,0,0,0,0,0,False
sample-app,en.yml,0,1,0,0,0,0,0,6,2,0,True
sample-app,database.yml,0,0,0,0,0,0,0,0,0,0,False
sample-app,database.yml,0,0,0,0,0,0,0,3,3,0,True
sample-app,cable.yml,0,0,0,0,0,0,0,0,0,0,False
sample-app,storage.yml,0,0,0,0,0,0,0,0,0,0,False
sample-app,database.yml,0,0,0,0,0,0,0,0,0,0,False
sample-app,en.yml,0,0,0,0,0,0,0,0,0,0,False
sample-app,en.yml,0,0,0,0,0,0,0,0,0,1,True
sample-app,index.yml,0,1,0,0,0,0,0,1,1,0,True
sample-app,index.yaml,0,3,0,0,0,0,0,1,0,0,True
sample-app,deployment.yaml,0,0,0,0,0,0,0,0,0,1,True
sample-app,service.yaml,0,0,0,0,0,0,0,0,0,0,False
sample-app,deployment.yaml,0,0,0,0,0,0,0,0,0,1,True
sample-app,service.yaml,0,0,0,0,0,0,0,0,0,0,False
sample-app,values.yaml,0,0,0,0,0,0,1,0,0,0,True
onosms,onos-service.yaml,0,0,0,0,0,0,0,0,0,0,False
onosms,onos-pod.yaml,0,0,1,0,0,0,0,0,0,0,True
onosms,onos-rc.yaml,0,0,0,0,0,0,0,0,0,0,False
onosms,onoscluster.yml,0,0,0,0,0,0,0,0,0,0,False
microservice-kubernetes,config.yml,0,0,0,0,0,0,0,0,0,1,True
go-grpc-microservices-k8s,rbac-config.yaml,0,0,0,0,0,0,0,0,0,0,False
go-grpc-microservices-k8s,deployment.yaml,0,0,0,0,0,0,1,0,0,1,True
go-grpc-microservices-k8s,virtualservice.yaml,0,0,0,0,0,0,0,0,0,0,False
go-grpc-microservices-k8s,service.yaml,0,0,0,0,0,0,0,0,0,0,False
go-grpc-microservices-k8s,destinationrule.yaml,0,0,0,0,0,0,0,0,0,0,False
