REPO NAME,RBAC FLAG,NETWORK POLICY FLAG,NETWORK EGRESS FLAG,DEFAULT NAMESPACE,HTTP WITHOUT TLS,MISSING SECURITY CONTEXT,PRIVILEGE ESCALATION,USPECIFIED PRIVILEGE ESCALATION,ROOT PRIVILEGE,NO ROLLING UPDATE,USERNAME,PASSWORD,KEY
ticket-share,False,True,True,0,0,0,0,0,0,0,0,0,1
hipstershop,False,True,True,0,0,0,0,0,0,0,0,0,0
udacity-operationalize-microservice,False,True,True,0,0,0,0,0,0,0,0,0,1
microservices-and-kubernetes-experiments,False,True,True,1,0,0,0,0,0,0,0,0,0
udagram-microservice,False,True,True,0,1,1,0,0,0,4,0,0,15
sample-app,False,True,True,0,5,0,0,0,1,1,11,6,5
onosms,False,True,True,0,0,1,0,0,0,0,0,0,0
microservice-kubernetes,False,True,True,0,0,0,0,0,0,0,0,0,1
microservices,False,False,False,0,0,0,0,0,0,0,0,0,0
go-grpc-microservices-k8s,False,True,True,0,0,1,0,0,0,1,0,0,12
gRPC-demo-go-app,False,True,True,0,0,0,0,0,0,1,0,0,0
k8s-go-auth,False,True,True,0,0,0,0,0,0,0,0,0,0
DataScience-and-AI,False,False,False,0,0,0,0,0,0,0,0,0,0
dotnet-kubernetes,False,False,False,0,0,0,0,0,0,0,0,0,0
Pricely,False,True,True,0,0,0,0,0,0,0,0,0,0
istio-spring-boot-minikube,False,True,True,0,0,0,0,0,0,0,0,0,0
AWS-Microservices-Project,False,True,True,0,0,0,0,0,0,0,0,0,1
microservices-with-react-and-nodejs,False,False,False,0,0,0,0,0,0,0,0,0,0
vertx-portfolio-microservices,False,False,False,0,0,0,0,0,0,0,0,0,0
kubernetes-ckad,True,True,True,0,1,83,0,10,2,23,0,0,13
vote,False,True,True,0,0,0,0,0,0,4,0,0,0
Node-React-Scaffold,False,True,True,0,0,0,0,0,0,0,0,0,0
webinar-microservices-kubernetes,False,True,True,0,0,0,0,0,0,0,0,0,0
udacity-project-ml-microservice-kubernetes,False,True,True,0,0,0,0,0,0,0,0,0,1
scala-item-microservice,False,True,True,0,0,0,0,0,0,0,0,0,0
kube-boilerplate,False,True,True,0,0,0,0,0,0,0,0,0,0
go-gitlab-k8s,False,True,True,0,3,0,0,0,0,0,0,0,0
online-boutique-microservices-demo,False,True,True,0,0,0,0,0,0,0,0,0,0
Project5-Docker-Kube,False,True,True,0,0,0,0,0,0,0,0,0,1
Covid19-Web-Application,False,False,False,0,0,0,0,0,0,0,0,0,0
kotlin-gke-example,False,True,True,0,0,0,0,0,0,0,2,2,2
microservices-chat,True,True,True,0,6,0,0,0,0,0,1,0,0
tracing-demo,False,True,True,0,14,0,0,0,0,0,0,0,0
istio-games,False,True,True,0,0,0,0,0,0,2,0,0,0
kubernetes-slides,False,False,False,0,0,0,0,0,0,0,0,0,0
UdacityProjectMicroService,False,True,True,0,0,0,0,0,0,0,0,0,1
KubernetesMicroservice,False,False,False,0,0,0,0,0,0,0,0,0,0
microservice-arch,False,True,True,0,0,0,0,0,0,0,0,0,0
argocd-resources,False,True,True,0,0,0,0,0,0,0,0,0,0
Containerized-Micorservices,False,True,True,0,0,0,0,0,0,0,0,0,1
pubsub_autoscaler,False,True,True,0,0,0,0,0,0,0,0,0,0
MicroservicesOnContainers,False,True,True,0,5,0,0,0,0,0,0,0,0
project-ml-microservice-kubernetes,False,True,True,0,0,0,0,0,0,0,0,0,1
MicroserviceA,True,True,True,0,0,1,0,0,0,4,0,0,0
microservice-camel-in-action,False,False,False,0,0,0,0,0,0,0,0,0,0
microserviceDemo,False,False,False,0,0,0,0,0,0,0,0,0,0
micro-apps,False,True,True,0,0,0,0,0,0,1,0,0,4
React-Node-Microservices,False,False,False,0,0,0,0,0,0,0,0,0,0
modern-app,False,True,True,0,0,0,0,0,0,0,0,0,0
grpc-go-api,False,True,True,0,0,0,0,0,0,0,0,0,0
password-manager-system,False,True,True,0,1,0,0,0,0,0,0,0,1
vent-frontend,False,False,False,0,0,0,0,0,0,0,0,0,0
Housing-price-ML,False,True,True,0,0,0,0,0,0,0,0,0,1
aws-eks-kubernetes-masterclass,True,True,True,1,0,0,0,0,0,9,0,0,26
kubernetes-go-grpc-tutorial,False,True,True,0,0,0,0,0,0,1,0,0,0
Hands-On-Microservices-with-Kubernetes,True,True,True,6,0,6,1,0,1,2,1,1,0
bachelors-project,False,True,True,0,0,0,0,0,0,0,0,0,0
microservices-samples-4-k8s-workshop,False,True,True,0,0,0,0,0,0,0,0,0,0
microservices-frame,False,True,True,0,6,0,0,0,0,0,5,5,0
payday,False,True,True,0,0,0,0,0,0,0,0,0,0
KubeChat,False,True,True,0,0,0,0,0,0,0,0,0,0
kubernetes-dep,False,True,True,1,0,0,0,0,0,0,0,0,0
spring-cloud-session-8-microservices-deployment-kubernetes,False,True,True,0,4,0,0,0,0,0,4,4,0
FleetMicroservice-Kubernetes,False,True,True,0,0,0,0,0,0,0,0,0,0
blog-app,False,True,True,0,0,0,0,0,0,0,0,0,0
monday,False,True,True,0,0,0,0,0,0,0,0,0,0
jsprbt-fa8-k8s,False,True,True,0,5,0,0,0,0,0,0,0,1
gutenberg-odyssey,False,True,True,0,24,1,0,0,0,0,2,2,0
udacity-ml-microservice,False,True,True,0,0,0,0,0,0,0,0,0,1
instagram-bot,False,True,True,6,5,0,0,0,0,0,0,0,0
donuts,False,True,True,0,0,0,0,0,0,0,2,1,0
cloud-native-starter,False,True,True,4,1,0,0,0,1,4,1,0,2
documentation,False,True,True,0,0,0,0,0,0,0,0,0,0
dreams-micro-service,False,True,True,1,2,0,0,0,0,0,6,2,0
gcd-labs,False,True,True,0,0,0,0,0,0,1,0,0,0
fabric8,False,False,False,0,0,0,0,0,0,0,0,0,0
k8s-compute-api,False,True,True,0,4,0,0,0,0,0,0,0,0
k8s-go-microservice,True,True,True,0,0,0,0,0,0,1,0,0,0
ml-microservice-k8s,False,True,True,0,0,0,0,0,0,0,0,0,1
nodejs-microservices-demo,False,False,False,0,0,0,0,0,0,0,0,0,0
tiny-node-app,False,True,True,0,0,0,0,0,0,0,0,0,0
nginx-kubernetes-lb,False,True,True,0,0,0,0,0,0,4,0,0,0
kubernetes-crash,False,True,True,23,3,0,0,0,0,3,0,0,5
scala-api,False,True,True,0,0,0,0,0,0,0,0,0,0
MicroservicesNodeWithReact,False,False,False,0,0,0,0,0,0,0,0,0,0
istio-mtls,False,True,True,0,0,1,0,0,0,0,0,0,0
product-service-docker,False,True,True,0,0,0,0,0,0,1,1,1,4
Java-Kubernetes-Example,True,True,True,2,1,0,0,0,0,0,1,1,4
devops-microservices-kubernetes,False,True,True,0,0,0,0,0,0,0,0,0,1
ordersMicroservice,False,False,False,0,0,0,0,0,0,0,0,0,0
devops,False,True,True,0,0,0,0,0,0,0,0,0,1
microservices-dotnetcore-docker-sf-k8s,False,True,True,0,12,0,0,0,0,1,0,0,0
udacity-cloud-developer-microservices,False,True,True,0,0,0,0,0,0,1,0,0,18
devops-with-docker.github.io,False,True,True,0,0,0,0,0,0,0,0,0,0
webAppProduction,False,True,True,0,0,0,0,0,0,0,0,0,0
kubekleaner,False,False,False,0,0,0,0,0,0,0,0,0,0
msa_example,False,True,True,0,0,0,0,0,0,0,1,1,0
kubernetes-go-test,False,True,True,0,0,0,0,0,0,0,0,0,0
kubedemo,False,True,True,0,0,0,0,0,0,0,0,0,0
cloud-training-demo,False,True,True,0,0,0,0,0,0,0,3,3,0
cloud-architecture,False,False,False,0,0,0,0,0,0,0,0,0,0
capstone-microservicesproject,False,True,True,0,4,1,0,0,0,5,0,0,16
spring-cloud-dataflow,True,True,True,4,24,0,0,0,0,0,6,5,13
Microservice-Ticketing-app,False,True,True,0,4,0,0,0,0,0,0,0,5
microservices-rabbitmq-kubernetes,False,True,True,0,5,0,0,0,0,0,0,0,0
DevOps_Microservices,False,True,True,0,0,0,0,0,0,0,0,0,0
Kubernetes_Deploy_AWS,False,False,False,0,0,0,0,0,0,0,0,0,0
aepa-k8s,True,True,True,9,11,2,0,0,0,0,6,0,6
scores-microservice,False,True,True,0,0,0,0,0,0,1,0,0,0
.DS_Store,False,False,False,0,0,0,0,0,0,0,0,0,0
microservices-architecture-course,False,True,True,0,8,0,0,0,0,0,0,0,10
cloud-native,False,True,True,0,0,0,0,0,0,1,0,0,0
laughing-broccoli,False,True,True,0,0,0,0,0,0,0,0,0,1
go-web-service,False,True,True,0,0,0,0,0,0,0,1,1,0
Lander,False,False,False,0,0,0,0,0,0,0,0,0,0
simple-microservice,False,True,True,0,0,0,0,0,0,0,0,0,0
kubernetes-voting-app,False,True,True,0,0,4,0,0,0,0,0,0,0
go-k8s-hello,False,True,True,0,0,0,0,0,0,0,0,0,0
hands-on-microservices-with-kubernetes-code,True,True,True,6,0,6,1,0,1,2,1,1,0
cisco-microservices-kubernetes-demo,False,True,True,0,0,0,0,0,0,0,0,0,0
kubernetes-go-grpc,False,True,True,0,0,0,0,0,0,1,0,0,0
microservices-aks,False,True,True,0,0,0,0,0,0,2,0,0,0
kubenote,False,True,True,0,1,0,0,0,0,0,0,0,0
kubenetes,False,False,False,0,0,0,0,0,0,0,0,0,0
dr,False,True,True,0,6,0,0,0,1,0,0,0,0
docker_shop,False,True,True,0,0,0,0,0,0,0,0,0,0
get-tix,False,True,True,0,4,0,0,0,0,0,0,0,5
lise,False,True,True,0,4,0,0,0,0,0,1,1,0
SpringBootMicroserviceGcloudEshopping,False,True,True,0,0,0,0,0,0,9,0,0,35
Monolith-to-microservices,False,False,False,0,0,0,0,0,0,0,0,0,0
ud615,False,True,True,0,0,0,0,0,0,0,2,0,0
nestjs-micro-istio,False,True,True,0,2,0,0,0,0,3,0,0,0
spring-microserice,False,False,False,0,0,0,0,0,0,0,0,0,0
k8s-sock-shop-deploy,False,True,True,0,0,0,0,0,0,0,0,0,0
