REPO NAME,FILE NAME,DEFAULT NAMESPACE,HTTP WITHOUT TLS,MISSING SECURITY CONTEXT,PRIVILEGE ESCALATION,USPECIFIED PRIVILEGE ESCALATION,ROOT PRIVILEGE,NO ROLLING UPDATE,USERNAME,PASSWORD,KEY,SECURE FLAG
urlshortener,stats-controller.yaml,0,0,0,0,0,0,0,0,0,0,False
urlshortener,urlservice-service.yaml,0,0,0,0,0,0,0,0,0,0,False
urlshortener,stats-service.yaml,0,0,0,0,0,0,0,0,0,0,False
urlshortener,urlservice-controller.yaml,0,0,0,0,0,0,0,0,0,0,False
urlshortener,frontend-controller.yaml,0,0,0,0,0,0,0,0,0,0,False
urlshortener,frontend-service.yaml,0,0,0,0,0,0,0,0,0,0,False
urlshortener,mongo-service.yaml,0,0,0,0,0,0,0,0,0,0,False
urlshortener,mongo-controller.yaml,0,0,0,0,0,0,0,0,0,0,False
k8s-microservices,database-service.yaml,0,0,0,0,0,0,0,0,0,0,False
k8s-microservices,webapp-pod.yaml,0,0,1,0,0,0,0,0,0,0,True
k8s-microservices,database-config.yaml,0,0,0,0,0,0,0,0,0,0,False
k8s-microservices,queue-service.yaml,0,0,0,0,0,0,0,0,0,0,False
k8s-microservices,database-pod.yaml,0,0,1,0,0,0,0,0,0,0,True
k8s-microservices,webapp-replica.yaml,0,0,0,0,0,0,1,0,0,0,True
k8s-microservices,webapp-service.yaml,0,0,0,0,0,0,0,0,0,0,False
k8s-microservices,webapp-deployment.yaml,0,0,0,0,0,0,1,0,0,0,True
k8s-microservices,queue-pod.yaml,0,0,1,0,0,0,0,0,0,0,True
k8s-microservices,ingress-configmap-l4.yaml,0,0,0,0,0,0,0,0,0,0,False
k8s-microservices,elastic-stack.yaml,0,0,0,0,0,0,0,0,0,0,False
k8s-microservices,alertmanager.yaml,0,0,0,0,0,0,0,0,0,0,False
k8s-microservices,services.yaml,0,0,0,0,0,0,0,0,0,0,False
k8s-microservices,ingress.yaml,0,0,0,0,0,0,0,0,0,0,False
k8s-microservices,fluentd-config.yaml,0,1,0,0,0,0,0,0,0,0,True
k8s-microservices,ingress-mandatory.yaml,0,0,0,0,0,0,0,0,0,0,False
k8s-microservices,ingress-service-l4.yaml,0,0,0,0,0,0,0,0,0,0,False
k8s-microservices,workloads.yaml,0,0,0,0,0,0,0,0,0,0,False
k8s-microservices,storage.yaml,0,0,0,0,0,0,0,0,0,0,False
k8s-microservices,mongo-stack.yaml,0,0,0,0,0,0,0,0,0,0,False
k8s-microservices,jenkins.yaml,1,0,0,0,0,0,0,0,0,0,True
k8s-microservices,services.yaml,0,0,0,0,0,0,0,0,0,0,False
k8s-microservices,workloads.yaml,0,0,0,0,0,0,0,0,0,0,False
k8s-microservices,storage.yaml,0,0,0,0,0,0,0,0,0,0,False
k8s-microservices,mongo-stack.yaml,0,0,0,0,0,0,0,0,0,0,False
spring-boot-k8s-microservices,pod.yml,1,0,1,0,0,0,0,0,0,0,True
spring-boot-k8s-microservices,application.yml,0,0,0,0,0,0,0,0,0,0,False
kubetest,countriesassembly-service.yaml,0,0,0,0,0,0,0,0,0,0,False
kubetest,ambassador-no-rbac.yaml,0,0,0,0,0,0,0,0,0,0,False
kubetest,airportssassembly-service.yaml,0,0,0,0,0,0,0,0,0,0,False
kubetest,ambassador-service.yaml,0,0,0,0,0,0,0,0,0,0,False
AWSCloud-Project3,ingress-srv.yaml,0,0,0,0,0,0,0,0,0,0,False
AWSCloud-Project3,feed-depl.yaml,0,0,0,0,0,0,0,0,0,0,False
kubernetes-pod-ip-finder,controller.yaml,0,0,0,0,0,0,0,0,0,0,False
kubernetes-pod-ip-finder,service.yaml,0,0,0,0,0,0,0,0,0,0,False
springboot_kubernetes,application.yml,0,0,0,0,0,0,0,0,0,0,False
springboot_kubernetes,application.yml,0,0,0,0,0,0,0,0,0,0,False
springboot_kubernetes,application.yml,0,0,0,0,0,0,0,0,0,0,False
springboot_kubernetes,application.yml,0,0,0,0,0,0,0,0,0,0,False
hello-kubernetes,zookeeper.yaml,0,0,0,0,0,0,0,0,0,0,False
hello-kubernetes,kafka.yaml,0,0,0,0,0,0,0,0,0,0,False
project_kubernetes_microservices,config.yml,0,0,0,0,0,0,0,0,0,1,True
Docker-and-Kubernetes,deployment.yml,0,0,0,0,0,0,0,0,0,0,False
Docker-and-Kubernetes,.travis.yml,0,0,0,0,0,0,0,0,0,0,False
Docker-and-Kubernetes,.travis.yml,0,0,0,0,0,0,0,0,0,0,False
Docker-and-Kubernetes,.travis.yml,0,0,0,0,0,0,0,0,0,0,False
Docker-and-Kubernetes,.coveralls.yml,0,0,0,0,0,0,0,0,0,0,False
Docker-and-Kubernetes,.travis.yml,0,0,0,0,0,0,0,0,0,0,False
calculator-k8s,.travis.yml,0,0,0,0,0,0,0,0,0,0,False
calculator-k8s,ingress-service.yml,0,0,0,0,0,0,0,0,0,0,False
calculator-k8s,handler-config.yml,0,0,0,0,0,0,0,0,0,1,True
