REPO NAME,RBAC FLAG,NETWORK POLICY FLAG,NETWORK EGRESS FLAG,DEFAULT NAMESPACE,HTTP WITHOUT TLS,MISSING SECURITY CONTEXT,PRIVILEGE ESCALATION,USPECIFIED PRIVILEGE ESCALATION,ROOT PRIVILEGE,NO ROLLING UPDATE,USERNAME,PASSWORD,KEY
urlshortener,False,True,True,0,0,0,0,0,0,0,0,0,0
k8s-microservices,False,True,True,1,1,3,0,0,0,2,0,0,0
spring-boot-k8s-microservices,False,True,True,1,0,1,0,0,0,0,0,0,0
kubetest,False,True,True,0,0,0,0,0,0,0,0,0,0
udacity-cloud-devops-nanodegree-S5L3-ex,False,False,False,0,0,0,0,0,0,0,0,0,0
.DS_Store,False,False,False,0,0,0,0,0,0,0,0,0,0
AWSCloud-Project3,False,True,True,0,0,0,0,0,0,0,0,0,0
microservices-demo-devops,False,False,False,0,0,0,0,0,0,0,0,0,0
kubernetes-pod-ip-finder,False,True,True,0,0,0,0,0,0,0,0,0,0
springboot_kubernetes,False,True,True,0,0,0,0,0,0,0,0,0,0
hello-kubernetes,False,True,True,0,0,0,0,0,0,0,0,0,0
project_kubernetes_microservices,False,True,True,0,0,0,0,0,0,0,0,0,1
Docker-and-Kubernetes,False,True,True,0,0,0,0,0,0,0,0,0,0
calculator-k8s,False,True,True,0,1,0,0,0,0,0,0,0,5
cloud-native-app,False,False,False,0,0,0,0,0,0,0,0,0,0
car-loan-calculator,False,True,True,0,0,0,0,0,0,0,6,6,0
spring-cloud-kubernetes-examples,False,True,True,0,5,0,0,0,0,0,0,0,2
book-clubs-spring-k8s,False,False,False,0,0,0,0,0,0,0,0,0,0
demo-kubernetes-pipeline,False,True,True,2,0,0,0,0,0,0,0,0,0
fancy_microservice_on_kubernetes,False,True,True,0,0,0,0,0,0,0,0,0,1
azure-microservices-demo,False,False,False,0,0,0,0,0,0,0,0,0,0
coursera-ibm-k8s,False,False,False,0,0,0,0,0,0,0,0,0,0
terraform_kubernetes_test,False,False,False,0,0,0,0,0,0,0,0,0,0
blog-microservice,False,True,True,0,0,1,0,0,0,0,0,0,0
Devops-Microservices-Project,False,True,True,0,0,0,0,0,0,0,0,0,1
Microservices-with-Kubernetes,False,False,False,0,0,0,0,0,0,0,0,0,0
banking-microservices-kube,False,True,True,0,0,2,0,0,0,1,0,0,0
kubernetes-example-deployment-app,False,True,True,0,0,0,0,0,0,0,0,0,0
k8s-java-microservice,False,False,False,0,0,0,0,0,0,0,0,0,0
auth-microservice-auth0,False,True,True,0,0,0,0,0,0,0,0,0,5
devops-kubernetes-microservices,False,True,True,0,1,2,0,0,0,0,0,0,0
kube-micro,False,True,True,0,44,0,0,0,0,0,0,0,0
boot-k8s-microservices,False,True,True,0,0,0,0,0,0,0,0,0,4
hapijs-test-service-gitlabci-kubernetes,False,True,True,0,0,0,0,0,0,0,0,0,0
basic_microservices,False,True,True,0,0,0,0,0,0,0,0,0,0
All_In_Zipped,False,True,True,0,1,0,0,0,0,0,0,0,0
Dapr-Microservice-Template,False,True,True,0,0,0,0,0,0,0,0,0,0
advancedGoCloud,False,True,True,1,1,0,0,0,0,2,0,0,1
spring-k8s-demo,False,True,True,0,0,0,0,0,0,0,0,0,0
udacity-project5-ml-microservice-kubernetes,False,True,True,0,0,0,0,0,0,0,0,0,1
demo-k8s,False,True,True,0,0,5,0,0,0,0,0,0,0
k8s-example,False,True,True,0,0,0,0,0,0,0,0,0,0
microservice-k8s-polyglot,False,True,True,0,12,0,0,0,0,0,0,0,0
k8s-springboot-data-rest,False,True,True,0,0,0,0,0,0,0,1,1,13
microservice-namespace,False,True,True,0,0,0,0,0,0,0,0,0,0
eShopOnContainers,False,True,True,6,13,0,0,0,0,0,2,0,306
sample-kubernetes-ms,False,False,False,0,0,0,0,0,0,0,0,0,0
tutorial-gke-security,True,True,True,0,0,1,0,1,1,1,0,0,1
app-demo-arch,False,True,True,0,0,0,0,0,0,0,0,0,0
Docker-Kubernetes,False,True,True,0,0,0,0,0,0,0,0,0,1
course-kubernetes-microservices,False,True,True,0,0,0,0,0,0,0,5,5,0
