REPO NAME,RBAC FLAG,NETWORK POLICY FLAG,NETWORK EGRESS FLAG,DEFAULT NAMESPACE,HTTP WITHOUT TLS,MISSING SECURITY CONTEXT,PRIVILEGE ESCALATION,USPECIFIED PRIVILEGE ESCALATION,ROOT PRIVILEGE,NO ROLLING UPDATE,USERNAME,PASSWORD,KEY
stackgres,False,True,True,0,5,0,0,0,0,0,4,3,26
turkce-kubernetes,False,True,True,0,0,2,0,0,1,3,0,0,0
django-gitlab-ci,False,False,False,0,0,0,0,0,0,0,0,0,0
gitlab-ci-google-cloud-kubernetes,False,True,True,0,0,0,0,0,0,0,0,0,0
data-image,False,True,True,2,0,0,0,0,0,0,0,0,16
.DS_Store,False,False,False,0,0,0,0,0,0,0,0,0,0
gitlab-com,False,True,True,0,0,0,0,0,0,0,0,0,0
seneferu,False,True,True,0,0,0,0,0,0,0,0,0,0
calico-cumulus,False,True,True,0,0,0,0,0,1,0,0,0,0
OpenStack-on-Kubernetes,False,True,True,0,126,2,0,8,8,0,0,1,0
pererira,False,False,False,0,0,0,0,0,0,0,0,0,0
kubernetes-deploy,False,True,True,0,0,0,0,0,0,0,0,0,0
create-gke-cluster,False,False,False,0,0,0,0,0,0,0,0,0,0
gitlab-agent,True,True,True,0,0,0,0,0,0,0,0,0,0
clusters,False,True,True,0,0,0,0,0,0,0,23,0,0
advanced-kubernetes-workshop,False,True,True,6,1,0,0,0,0,0,0,0,0
django-on-k8s,False,False,False,0,0,0,0,0,0,0,0,0,0
kubernetes-the-roguelike-way,False,False,False,0,0,0,0,0,0,0,0,0,0
opendatahub-operator,True,True,True,0,4,0,0,0,0,0,18,8,100
django-k8s-starter,False,True,True,0,0,0,0,0,0,0,1,1,0
kre8,False,True,True,0,0,0,0,0,0,0,0,0,0
kubernetes-extras,False,True,True,0,2,0,0,0,1,0,0,0,0
githook,True,True,True,0,10,0,0,0,0,0,0,0,13
kubernetes-example,False,True,True,0,0,0,0,0,0,0,0,0,0
kubernetes-elastic-logging,False,True,True,0,1,0,0,0,0,0,0,0,0
kubecf,False,True,True,0,0,0,0,0,11,0,8,8,1
secret-replication-controller,True,True,True,0,0,0,0,0,0,0,0,0,0
erpnext_kubernetes,False,True,True,0,0,0,0,0,0,0,0,0,0
koris,True,True,True,0,43,0,0,0,0,1,8,4,50
justin@kubernetes,True,True,True,1,2,0,0,0,0,1,7,8,2
onap_oom_automatic_installation,False,True,True,0,2,0,0,0,0,0,2,3,0
build-your-own-kubernetes-operator,False,False,False,0,0,0,0,0,0,0,0,0,0
k8s-ingress,True,True,True,1,0,0,0,0,0,49,0,0,21
kubernetes-tutorial-series-youtube,False,True,True,1,0,3,0,0,0,3,0,0,6
skampi,True,True,True,0,6,0,0,0,0,1,4,4,0
ansible-playbook-kubernetes,False,True,True,0,0,0,0,0,0,0,0,0,0
kubernetes-sigs-kubespray,True,True,True,0,35,0,0,0,2,0,14,7,5
kubernetes,False,True,True,0,0,0,0,0,0,0,0,0,2
basic-microservice-for-learning,False,True,True,0,0,0,0,0,0,2,0,0,0
k3s_hetzner,False,True,True,0,0,0,0,0,0,0,0,0,0
kubernetes-gitlab-demo,False,True,True,0,2,0,0,0,0,0,0,0,18
obtao@kubernetes,False,True,True,0,2,0,0,0,0,2,0,0,0
spring-petclinic-kubernetes,False,True,True,4,14,4,0,0,0,0,6,6,0
sisyphus,False,True,True,0,0,0,0,0,0,0,0,0,0
ansible-hetzner-ubuntu-1804-k8s-setup,False,True,True,0,1,0,0,0,0,0,0,0,0
